Month,TWP90 (%),Outstanding Pinjaman (miliar RP),BI-7Day-RR,Inflasi,PDB (miliar Rp),Pertumbuhan Outstanding (YoY% atau MoM%),Indeks Keyakinan Konsumen (IKK),Nilai Tukar Rupiah terhadap USD
2018-03-31,-5.2030071867437115,928697451636.0,0.0,0.0022000000000000006,5948.528089887463,0.26203324147382656,-1.0,49.0
2018-04-30,-5.240048458424061,942875887329.0,0.0,9.999999999999593e-05,-1982.842696628999,0.2107977013042708,0.0,121.0
2018-05-31,-5.052797165345875,744346582846.0,0.0049999999999999975,-0.001799999999999996,-7086.183072789572,0.13744057152261674,3.0,74.0
2018-06-30,-4.837496590617555,1475357161887.0,0.0049999999999999975,-0.0011000000000000038,-1690.293478260748,0.23950148338303925,3.0,453.0
2018-07-31,-4.270097069421988,1578348006014.0,0.0,0.0006000000000000033,1690.293478260748,0.20671250669289074,-3.0,9.0
2018-08-31,-3.969561221034652,2471039999003.0,0.0025000000000000022,0.0001999999999999988,-66931.69565217383,0.2681883751489537,-3.0,298.0
2018-09-30,-4.4226786436425,2149454037356.0,0.0025000000000000022,-0.0032000000000000015,468.7934782607481,0.1839520231113332,0.0,218.0
2018-10-31,-4.4226786436425,2155826926348.0,0.0,0.002800000000000004,-468.7934782607481,0.15583183822337612,-3.0,298.0
2018-11-30,-4.186386067168319,3065408431450.0,0.0024999999999999953,0.0006999999999999992,9121.184782608878,0.1917061282285831,4.0,-888.0
2018-12-31,-4.230681857091584,3610517927483.0,0.0,-0.0010000000000000009,-180.3804347831756,0.18947328360915702,4.0,142.0
2019-01-31,-4.086414811820801,-16968179371890.0,0.0,-0.003100000000000002,4.656612873077393e-10,0.8976837180121912,-1.0,-409.0
2019-02-28,-3.447565815834551,1353061635755.0,0.0,-0.0024999999999999988,62679.074377137236,0.9894355723512429,-1.0,-10.0
2019-03-31,-3.641147660167058,734198520467.0,0.0,-0.0009000000000000015,6116.494382022414,0.7405172900911775,0.0,182.0
2019-04-30,-4.114237920630491,436149962900.0,0.0,0.0034999999999999996,-2038.8314606742933,0.5180296796122402,3.0,-29.0
2019-05-31,-4.154094566627875,97730147080.0,0.0,0.004900000000000002,-26363.0633854419,0.3504662947289051,0.0,170.0
2019-06-30,-4.048099165977441,-359718148476.0,0.0,-0.0003999999999999976,-1122.6413043481298,0.042412306841486704,-2.0,-244.0
2019-07-31,-3.681873030630777,772451814435.0,-0.0024999999999999953,0.0003999999999999976,1122.6413043481298,-0.052319016879457,-1.0,-115.0
2019-08-31,-3.486755270023802,953626067535.0,-0.0025000000000000022,0.0017000000000000001,-51229.18478260888,-0.17111644272375598,-2.0,211.0
2019-09-30,-3.543913683863751,495103550763.0,-0.0025000000000000022,-0.0010000000000000009,529.9130434785038,-0.2641129839280713,-1.0,-63.0
2019-10-31,-3.562470469303528,1005437314624.0,-0.0024999999999999953,-0.002599999999999998,-529.9130434785038,-0.30044835155033467,-4.0,-166.0
2019-11-30,-3.349554148510317,992777899300.0,0.0,-0.0013000000000000025,-14635.086956521496,-0.3608839478484705,6.0,94.0
2019-12-31,-3.3104430183936913,978447117046.0,0.0,-0.0028000000000000004,-1035.4130434785038,-0.4195219418320489,2.0,-201.0
2020-01-31,-3.223888366691745,359795429254.0,0.0,-0.0003999999999999976,0.0,1.3722730931074274,-4.0,-239.0
2020-02-29,-3.23907853218572,978593892974.0,-0.0025000000000000022,0.002999999999999999,-42853.01787439594,1.0558281799274636,-4.0,572.0
2020-03-31,-3.165251264024695,296503562004.0,-0.0025000000000000022,-0.0001999999999999988,-5169.022222222295,0.9000338276425467,-4.0,2133.0
2020-04-30,-3.009831197933493,-1042076070641.0,0.0,-0.0029,2584.5111111109145,0.6724815308339765,-29.0,-1210.0
2020-05-31,-2.791975436039971,-886463970765.0,0.0,-0.004800000000000002,147322.3985507246,0.5462750155358111,-7.0,-424.0
2020-06-30,-2.526979426209908,-1096679097308.0,-0.0024999999999999953,-0.0023,-2251.1956521733664,0.4783726773723663,6.0,-431.0
2020-07-31,-2.792789296069862,173145318477.0,-0.0025000000000000022,-0.004199999999999999,2251.1956521733664,0.36741842667902014,2.0,351.0
2020-08-31,-2.4281483159693913,193171853993.0,0.0,-0.0022000000000000006,-58479.141304347664,0.25272671181524176,1.0,-99.0
2020-09-30,-2.4920272617625177,580366940667.0,0.0,0.0010000000000000009,-364.77173913037404,0.24881113524834397,-4.0,364.0
