Month,Year,Month_Num,dummy_covid,BI-7Day-RR_lag1,BI-7Day-RR_lag3,BI-7Day-RR_lag6,Inflasi_lag1,Inflasi_lag2,Inflasi_lag3,Indeks Keyakinan Konsumen (IKK)_lag1,Indeks Keyakinan Konsumen (IKK)_lag3,Indeks Keyakinan Konsumen (IKK)_lag6,Outstanding Pinjaman (miliar RP)_lag1,Outstanding Pinjaman (miliar RP)_lag3,Outstanding Pinjaman (miliar RP)_lag12,PDB (miliar Rp)_lag3,Pertumbuhan Outstanding (YoY% atau MoM%)_lag6,Pertumbuhan Outstanding (YoY% atau MoM%)_lag12,Nilai Tukar Rupiah terhadap USD_lag1
2019-03-31,2019.0,3.0,0.0,0.0,0.0,0.0025000000000000022,-0.0024999999999999988,-0.003100000000000002,-0.0010000000000000009,-1.0,4.0,0.0,1353061635755.0,3610517927483.0,928697451636.0,-180.3804347831756,0.1839520231113332,0.26203324147382656,-10.0
2019-04-30,2019.0,4.0,0.0,0.0,0.0,0.0,-0.0009000000000000015,-0.0024999999999999988,-0.003100000000000002,0.0,-1.0,-3.0,734198520467.0,-16968179371890.0,942875887329.0,4.656612873077393e-10,0.15583183822337612,0.2107977013042708,182.0
2019-05-31,2019.0,5.0,0.0,0.0,0.0,0.0024999999999999953,0.0034999999999999996,-0.0009000000000000015,-0.0024999999999999988,3.0,-1.0,4.0,436149962900.0,1353061635755.0,744346582846.0,62679.074377137236,0.1917061282285831,0.13744057152261674,-29.0
2019-06-30,2019.0,6.0,0.0,0.0,0.0,0.0,0.004900000000000002,0.0034999999999999996,-0.0009000000000000015,0.0,0.0,4.0,97730147080.0,734198520467.0,1475357161887.0,6116.494382022414,0.18947328360915702,0.23950148338303925,170.0
2019-07-31,2019.0,7.0,0.0,0.0,0.0,0.0,-0.0003999999999999976,0.004900000000000002,0.0034999999999999996,-2.0,3.0,-1.0,-359718148476.0,436149962900.0,1578348006014.0,-2038.8314606742933,0.8976837180121912,0.20671250669289074,-244.0
2019-08-31,2019.0,8.0,0.0,-0.0024999999999999953,0.0,0.0,0.0003999999999999976,-0.0003999999999999976,0.004900000000000002,-1.0,0.0,-1.0,772451814435.0,97730147080.0,2471039999003.0,-26363.0633854419,0.9894355723512429,0.2681883751489537,-115.0
2019-09-30,2019.0,9.0,0.0,-0.0025000000000000022,0.0,0.0,0.0017000000000000001,0.0003999999999999976,-0.0003999999999999976,-2.0,-2.0,0.0,953626067535.0,-359718148476.0,2149454037356.0,-1122.6413043481298,0.7405172900911775,0.1839520231113332,211.0
2019-10-31,2019.0,10.0,0.0,-0.0025000000000000022,-0.0024999999999999953,0.0,-0.0010000000000000009,0.0017000000000000001,0.0003999999999999976,-1.0,-1.0,3.0,495103550763.0,772451814435.0,2155826926348.0,1122.6413043481298,0.5180296796122402,0.15583183822337612,-63.0
2019-11-30,2019.0,11.0,0.0,-0.0024999999999999953,-0.0025000000000000022,0.0,-0.002599999999999998,-0.0010000000000000009,0.0017000000000000001,-4.0,-2.0,0.0,1005437314624.0,953626067535.0,3065408431450.0,-51229.18478260888,0.3504662947289051,0.1917061282285831,-166.0
2019-12-31,2019.0,12.0,0.0,0.0,-0.0025000000000000022,0.0,-0.0013000000000000025,-0.002599999999999998,-0.0010000000000000009,6.0,-1.0,-2.0,992777899300.0,495103550763.0,3610517927483.0,529.9130434785038,0.042412306841486704,0.18947328360915702,94.0
2020-01-31,2020.0,1.0,0.0,0.0,-0.0024999999999999953,-0.0024999999999999953,-0.0028000000000000004,-0.0013000000000000025,-0.002599999999999998,2.0,-4.0,-1.0,978447117046.0,1005437314624.0,-16968179371890.0,-529.9130434785038,-0.052319016879457,0.8976837180121912,-201.0
2020-02-29,2020.0,2.0,0.0,0.0,0.0,-0.0025000000000000022,-0.0003999999999999976,-0.0028000000000000004,-0.0013000000000000025,-4.0,6.0,-2.0,359795429254.0,992777899300.0,1353061635755.0,-14635.086956521496,-0.17111644272375598,0.9894355723512429,-239.0
